Subject_ID,label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191
002_S_2043,0,-0.0285,-1.094,-0.534,-2.523,0.326,-1.412,-0.3716,1.592,0.569,-0.02615,-0.1094,1.28,-0.1115,1.493,0.04022,-0.1196,0.4111,1.125,1.461,-0.3743,-0.5713,1.078,-0.2693,-2.084,-0.365,0.135,-0.8193,-0.847,0.8057,0.0669,0.0699,1.544,-0.5137,0.2974,2.066,-0.09906,0.826,1.502,0.1102,-0.5205,0.2546,-0.1589,0.5786,0.165,-0.3594,-0.0332,-0.75,-0.3325,-0.518,0.7944,0.2086,0.07416,0.3916,0.08826,-0.2458,-1.502,-0.1683,0.6177,-0.5317,0.4312,0.583,-0.339,-1.121,4.51,-0.5176,0.2554,-0.5366,-1.014,-0.05304,-0.0627,-0.1925,0.611,-5.8,-0.1903,0.0655,0.7417,0.6807,0.5156,3.129,-1.751,-0.549,-0.2563,-1.059,0.536,1.073,-0.3481,-0.03278,0.05603,1.448,0.1547,-0.1572,0.5737,-1.227,-1.103,0.6646,0.5273,1.356,0.595,-0.629,1.117,0.09283,0.931,-0.663,-1.039,-1.289,-0.068,0.7236,1.298,-1.011,-0.4016,-1.027,0.3484,-0.2296,-1.286,-1.389,-0.363,-0.921,-0.05368,0.4602,0.817,-0.604,-0.2026,-0.9795,-2.107,-0.3936,-0.411,-0.7524,-0.4314,1.088,0.8193,-0.4268,-0.05197,1.541,-0.4805,-0.978,0.06445,-0.509,1.078,0.406,-1.242,1.194,1.276,0.4688,-0.2484,-0.7583,0.1401,-1.283,-0.8057,0.2617,-0.1991,-0.42,-0.3782,0.746,-0.2163,-0.3625,-0.522,0.913,0.978,0.2025,0.972,-0.4956,0.1726,0.07544,1.044,0.729,-0.1885,-0.1055,0.736,-1.032,-0.7646,-0.508,0.1624,-0.408,0.0684,-0.5884,0.678,1.863,0.9746,0.075,1.445,0.289,0.1097,-1.504,0.01461,0.2917,0.961,0.8994,-0.2744,0.8853,-0.65,-0.271,-2.264
002_S_4171,1,0.5537,-1.038,-0.4717,-1.672,0.3162,-1.843,0.11145,1.233,0.7124,-0.3513,0.4402,0.6562,-0.1798,1.106,0.10376,-0.2332,-0.0679,0.3525,1.327,-0.01627,-0.0587,0.3335,0.0886,-2.729,-0.1375,0.085,-0.542,-0.2856,1.126,0.1506,-0.4253,1.639,-0.3872,0.9165,1.632,0.1808,-0.07184,0.828,-1.154,-0.4263,-1.035,-0.1462,0.0161,-0.4421,0.4895,0.4697,-0.733,0.0757,-0.8354,0.8,0.7847,-0.07324,0.793,0.439,-0.2942,-1.429,-0.02399,0.1251,-0.911,0.3748,-0.009544,-0.5366,-0.3142,3.678,-0.6963,-0.1092,-0.6963,-0.7886,0.682,-0.5933,-0.623,0.782,-4.926,0.9536,1.179,0.345,0.4705,0.4844,2.863,-1.775,-0.656,-1.227,-0.7783,0.7925,0.9873,-0.4153,0.4702,-0.1665,1.879,0.6665,-0.9985,0.683,-1.402,-0.949,0.661,0.1699,1.443,0.2094,-1.375,1.691,0.703,0.8804,-0.882,-1.055,-0.2477,-0.2825,0.589,0.4626,-1.031,-0.2202,-1.308,0.7915,0.3743,-0.929,-1.136,-0.3257,-0.7627,0.129,0.7734,0.8765,-0.5674,-0.7847,-1.037,-2.092,0.12164,-1.267,-1.126,-0.4006,0.886,1.812,-0.5767,0.4521,0.9746,-1.249,-1.027,0.3562,-0.652,0.709,0.7607,-1.267,1.646,0.739,1.171,-0.08765,-0.9214,0.1665,-1.361,-0.3193,0.014786,-0.297,-0.4707,0.129,0.4626,-0.2301,-0.9854,-0.877,0.964,0.915,0.8184,0.7197,0.03207,0.4587,0.1804,1.327,0.7417,0.1997,0.1262,1.2295,-1.949,-1.684,-0.2751,-0.6113,0.1364,0.522,-0.10583,0.8257,1.476,1.678,0.3137,1.716,0.1803,0.3223,-1.536,0.3635,0.3538,-0.5127,1.199,-0.4187,0.759,-0.1511,-0.6494,-2.17
002_S_4219,0,-0.03317,-1.055,-0.5396,-2.486,0.2996,-1.409,-0.5137,1.623,0.6035,-0.04398,-0.0795,1.265,-0.1197,1.494,0.1078,-0.1131,0.3872,1.164,1.428,-0.3662,-0.606,1.004,-0.244,-2.174,-0.456,0.1558,-0.8525,-0.82,0.9326,0.09204,0.0812,1.593,-0.527,0.299,2.13,-0.05673,0.742,1.592,0.08746,-0.5845,0.1882,-0.2026,0.5967,0.11914,-0.3584,-0.02615,-0.7866,-0.3406,-0.4744,0.767,0.1992,0.11755,0.4084,0.1812,-0.2118,-1.514,-0.1313,0.656,-0.535,0.3992,0.5967,-0.3704,-1.205,4.33,-0.5127,0.1953,-0.561,-1.028,-0.0587,-0.06604,-0.11145,0.6235,-5.633,-0.11835,0.1156,0.685,0.6743,0.6094,3.105,-1.804,-0.573,-0.2976,-1.08,0.5737,1.081,-0.3542,0.003582,0.0527,1.444,0.2462,-0.2107,0.5444,-1.339,-1.082,0.707,0.527,1.413,0.5986,-0.7036,1.14,0.0706,0.833,-0.5786,-1.018,-1.265,-0.0938,0.677,1.282,-1.062,-0.382,-1.077,0.414,-0.2312,-1.292,-1.42,-0.2395,-0.8667,0.02217,0.4653,0.874,-0.6807,-0.2256,-0.9453,-2.11,-0.383,-0.4875,-0.704,-0.48,1.049,0.8794,-0.3513,0.04477,1.54,-0.511,-1.039,0.0426,-0.4907,1.056,0.3896,-1.253,1.259,1.258,0.4148,-0.2866,-0.765,0.04703,-1.346,-0.843,0.2825,-0.2343,-0.3848,-0.391,0.7354,-0.1572,-0.3804,-0.5894,0.991,0.8916,0.2272,0.9697,-0.5195,0.294,0.00488,1.063,0.7773,-0.2026,-0.1188,0.6816,-1.082,-0.8164,-0.4934,0.119,-0.4756,0.1261,-0.5415,0.735,1.835,1.018,0.02087,1.556,0.3337,0.1475,-1.476,0.04715,0.3267,1.05,0.856,-0.29,0.9004,-0.6475,-0.2744,-2.314
002_S_4229,0,0.10565,-1.036,-0.614,-2.105,0.2291,-1.429,-0.1942,1.634,0.7124,-0.251,-0.03848,1.086,-0.1742,1.449,0.2413,-0.2463,0.1686,0.962,1.155,-0.433,-0.5737,0.9263,-0.1339,-2.332,-0.667,-0.0243,-1.046,-0.8105,0.983,0.2678,-0.01212,1.658,-0.554,0.2241,2.092,0.1432,0.3477,1.702,-0.1011,-0.611,0.1315,-0.3076,0.578,0.2075,-0.5117,0.02945,-0.7104,-0.4265,-0.4893,0.7925,0.32,-0.00468,0.694,-0.02164,-0.4705,-1.43,0.2012,0.635,-0.543,0.2866,0.649,-0.2272,-1.004,4.555,-0.3184,0.134,-0.543,-0.8955,0.195,-0.2996,-0.2366,0.767,-5.793,0.0603,0.0359,0.443,0.7183,0.7188,3.125,-1.723,-0.74,-0.3232,-1.161,0.889,1.115,-0.1777,0.1423,-0.0533,1.497,0.2876,-0.4539,0.6333,-1.456,-1.029,0.6313,0.455,1.523,0.572,-0.6763,1.476,-0.02628,0.5684,-0.674,-1.211,-1.227,-0.2505,0.6543,1.3955,-0.941,-0.2302,-0.9756,0.447,-0.181,-1.177,-1.335,-0.3843,-0.772,-0.0555,0.4907,1.015,-0.839,-0.3293,-1.007,-1.848,-0.46,-0.6533,-0.57,-0.4705,0.8667,0.935,-0.2308,0.0939,1.398,-0.3599,-0.8765,0.1853,-0.5146,0.8257,0.3645,-1.149,1.074,1.198,0.3003,-0.1592,-0.5767,-0.1194,-1.424,-0.816,0.285,-0.2144,-0.371,-0.2678,0.7534,-0.0812,-0.3274,-0.5684,0.8574,0.935,0.4397,1.161,-0.594,0.3333,0.05072,1.007,0.795,-0.3047,0.0204,0.627,-1.277,-0.8433,-0.4312,0.1681,-0.3857,0.1615,-0.361,0.7964,1.764,0.915,-0.108,1.539,0.08795,0.09143,-1.6045,0.03152,0.5806,0.8643,0.86,-0.376,0.8037,-0.4905,-0.1859,-2.277
002_S_4237,0,0.0702,-0.948,-0.598,-2.113,0.113,-1.53,-0.4382,1.63,0.9463,-0.2002,0.009254,1.04,-0.2222,1.52,0.3503,-0.307,0.0604,0.926,1.297,-0.4338,-0.567,0.8105,-0.045,-2.57,-0.6997,-0.0605,-1.201,-0.716,1.084,0.274,0.0471,1.565,-0.477,0.2169,2.283,0.0957,0.2742,1.668,-0.248,-0.934,-0.212,-0.3457,0.409,0.316,-0.2095,0.164,-0.6763,-0.2108,-0.558,0.617,0.3179,-0.06113,0.853,0.2426,-0.414,-1.273,0.1951,0.7217,-0.4563,0.3787,0.5454,-0.4,-1.013,4.133,-0.365,0.1545,-0.5693,-0.931,0.2842,-0.353,-0.3726,0.8096,-5.29,0.2556,0.2183,0.2854,0.633,0.796,3.107,-1.797,-0.861,-0.4312,-1.236,0.875,1.065,-0.3145,0.3408,-0.06247,1.47,0.3708,-0.507,0.59,-1.472,-1.005,0.7256,0.401,1.645,0.4775,-0.8677,1.469,0.0627,0.786,-0.581,-1.155,-1.259,-0.261,0.5347,1.041,-0.956,-0.124,-1.061,0.3945,-0.1044,-1.051,-1.3545,-0.3506,-0.663,0.174,0.5933,1.004,-0.7827,-0.3464,-1.16,-1.996,-0.338,-0.9224,-0.5044,-0.552,0.865,1.188,-0.2673,0.1794,1.373,-0.5024,-1.107,0.296,-0.6226,0.8022,0.395,-1.091,1.231,1.16,0.254,-0.153,-0.5684,-0.1385,-1.597,-0.8057,0.3127,-0.1913,-0.563,-0.1311,0.6865,-0.0611,-0.3242,-0.6885,1.009,0.8184,0.5264,1.137,-0.4534,0.3108,0.03387,1.203,0.761,-0.3093,-0.133,0.6616,-1.525,-0.957,-0.2202,-0.01987,-0.3376,0.3923,-0.276,0.9946,1.721,1.145,-0.0769,1.819,0.174,0.1887,-1.655,0.1359,0.4966,0.6626,0.811,-0.4053,0.8467,-0.3875,-0.3215,-2.344
002_S_4251,0,0.0752,-1.118,-0.5977,-2.348,0.2996,-1.384,-0.299,1.589,0.6377,-0.1292,-0.10614,1.128,-0.06946,1.49,0.166,-0.157,0.259,1.035,1.27,-0.3687,-0.6255,0.9883,-0.2224,-2.193,-0.4849,0.081,-0.889,-0.8374,0.801,0.1102,0.0785,1.628,-0.4316,0.2491,1.984,0.04355,0.6553,1.6,0.03668,-0.4985,0.2142,-0.2397,0.576,0.2091,-0.4875,-0.004055,-0.6387,-0.4026,-0.4292,0.7964,0.2444,0.08887,0.4976,0.02118,-0.4204,-1.548,0.01398,0.5913,-0.5444,0.3394,0.5938,-0.294,-1.003,4.754,-0.4573,0.2542,-0.509,-0.941,0.1185,-0.1372,-0.1345,0.647,-6.01,-0.0682,0.04672,0.579,0.7925,0.6343,3.06,-1.694,-0.639,-0.2925,-1.103,0.578,1.098,-0.2788,0.00517,0.02237,1.518,0.234,-0.2986,0.678,-1.265,-0.973,0.623,0.4893,1.339,0.5615,-0.6855,1.314,0.0765,0.7104,-0.6997,-1.129,-1.237,-0.1818,0.684,1.423,-0.9546,-0.3481,-0.9766,0.4043,-0.245,-1.169,-1.294,-0.4102,-0.864,-0.1586,0.4463,0.8887,-0.6953,-0.2444,-0.9414,-1.865,-0.4297,-0.506,-0.65,-0.4287,0.9707,0.82,-0.3364,-0.011826,1.469,-0.434,-0.928,0.11273,-0.5376,0.9062,0.3367,-1.204,1.117,1.222,0.366,-0.2046,-0.6694,0.00802,-1.338,-0.8,0.321,-0.1274,-0.3945,-0.3247,0.7954,-0.1661,-0.3352,-0.502,0.8906,1.0,0.2439,1.045,-0.6147,0.295,-0.010376,1.043,0.8174,-0.2537,-0.0976,0.645,-1.092,-0.827,-0.6064,0.1857,-0.4106,0.1022,-0.4531,0.6846,1.809,0.9707,0.00683,1.443,0.2145,0.062,-1.448,-0.0507,0.3608,0.9517,0.837,-0.2966,0.859,-0.6265,-0.2656,-2.232
002_S_4447,0,0.05023,-0.8984,-0.4675,-2.016,0.05057,-1.461,-0.474,1.709,0.8604,-0.2133,0.08075,0.957,-0.2617,1.559,0.3806,-0.274,0.1638,1.169,1.375,-0.401,-0.6147,0.849,-0.0452,-2.475,-0.665,-0.0929,-1.151,-0.8135,1.026,0.3518,0.03284,1.795,-0.6206,0.2046,2.24,0.04654,0.3398,1.649,-0.2257,-1.015,-0.08563,-0.3574,0.502,0.1897,-0.2603,-0.04166,-0.697,-0.3223,-0.5757,0.7026,0.346,0.0719,0.6885,0.3035,-0.4016,-1.375,0.1564,0.6143,-0.602,0.3691,0.6567,-0.4382,-1.039,3.996,-0.3506,0.05756,-0.621,-0.8877,0.2413,-0.3562,-0.3096,0.761,-5.223,0.1456,0.1907,0.404,0.6943,0.7666,3.02,-1.735,-0.8657,-0.405,-1.262,0.851,1.091,-0.3704,0.2622,0.09576,1.467,0.2925,-0.5615,0.4983,-1.405,-1.045,0.627,0.482,1.585,0.5967,-0.789,1.546,0.03543,0.733,-0.5327,-1.228,-1.31,-0.2266,0.4766,1.203,-1.101,-0.2512,-1.118,0.4495,-0.219,-1.1875,-1.448,-0.1383,-0.71,0.08026,0.5605,1.104,-0.793,-0.348,-1.099,-2.035,-0.3894,-0.7656,-0.601,-0.4636,0.831,1.228,-0.2361,0.198,1.515,-0.524,-1.134,0.3289,-0.5464,0.877,0.4717,-1.129,1.262,1.143,0.2568,-0.2157,-0.6265,-0.1056,-1.456,-0.771,0.297,-0.2825,-0.337,-0.1142,0.618,0.08215,-0.2186,-0.598,0.971,0.8613,0.5903,1.076,-0.509,0.3342,0.01921,1.24,0.8013,-0.3813,-0.10065,0.6416,-1.528,-0.924,-0.3535,-0.003656,-0.4058,0.2822,-0.483,1.038,1.658,1.15,-0.1306,1.78,0.297,0.1968,-1.65,0.02914,0.4656,0.854,0.791,-0.4631,0.844,-0.429,-0.2756,-2.373
002_S_4473,0,0.1335,-0.9575,-0.54,-2.049,0.03488,-1.461,-0.3237,1.653,0.8813,-0.2551,0.001407,0.967,-0.284,1.537,0.3477,-0.323,0.0845,1.015,1.3,-0.4111,-0.5894,0.8135,0.0562,-2.453,-0.6226,-0.1151,-1.25,-0.831,0.902,0.345,-0.002384,1.671,-0.446,0.0729,2.129,0.08185,0.2554,1.7295,-0.2108,-0.873,-0.0887,-0.345,0.5117,0.3,-0.3762,-0.01863,-0.5796,-0.2954,-0.568,0.6626,0.3267,-0.06033,0.742,0.1688,-0.4958,-1.3,0.3228,0.637,-0.531,0.3325,0.6,-0.3762,-0.822,4.234,-0.2783,0.1638,-0.5513,-0.881,0.3809,-0.416,-0.3115,0.773,-5.44,0.09973,0.1453,0.2576,0.794,0.8247,3.045,-1.661,-0.899,-0.289,-1.272,0.824,1.089,-0.2524,0.3164,-0.0367,1.59,0.3027,-0.5425,0.59,-1.414,-0.9595,0.5693,0.4893,1.646,0.609,-0.787,1.545,0.06854,0.6675,-0.5767,-1.227,-1.294,-0.271,0.53,1.258,-0.9326,-0.01224,-1.022,0.4,-0.1797,-1.148,-1.385,-0.399,-0.608,-0.03217,0.5576,1.059,-0.9023,-0.4246,-1.088,-1.904,-0.4197,-0.9067,-0.618,-0.4539,0.7866,1.222,-0.2957,0.1926,1.456,-0.3938,-1.113,0.269,-0.69,0.738,0.3992,-1.14,1.199,1.123,0.2927,-0.194,-0.5513,-0.142,-1.508,-0.7637,0.3684,-0.2211,-0.469,-0.181,0.788,-0.03986,-0.2742,-0.6577,0.894,0.911,0.656,1.189,-0.5493,0.3064,-0.0458,1.188,0.7026,-0.4539,-0.0993,0.646,-1.5625,-0.831,-0.3496,0.04993,-0.3118,0.3984,-0.271,0.9556,1.707,1.05,-0.10547,1.655,0.08826,0.1378,-1.642,-0.05252,0.584,0.816,0.893,-0.5063,0.8887,-0.3975,-0.2269,-2.303
002_S_4521,1,0.4397,-1.177,-0.483,-1.691,0.2487,-1.772,0.3286,1.04,0.5376,-0.3486,0.681,0.5454,-0.1455,1.127,0.1428,0.00251,-0.1663,0.3098,1.288,-0.101,0.1393,0.223,0.3354,-2.566,0.03668,0.196,-0.1876,-0.08887,1.349,0.0932,-0.415,1.551,-0.551,1.071,1.415,0.1202,0.01521,0.509,-1.193,-0.176,-1.142,-0.1776,-0.0738,-0.556,0.615,0.4548,-0.729,0.08514,-0.6523,0.6865,0.7236,-0.3208,0.753,0.305,-0.266,-1.493,0.10785,-0.00914,-0.8477,0.521,-0.3513,-0.577,-0.13,4.44,-0.7817,-0.3835,-0.9517,-0.8423,0.5747,-0.6167,-0.6475,0.6187,-5.414,0.952,1.066,0.3525,0.143,0.2045,2.488,-1.524,-0.4563,-1.395,-0.589,0.2874,1.188,-0.5537,0.539,-0.353,1.848,0.6426,-0.674,0.839,-1.328,-0.9106,0.5547,0.03305,1.332,0.2886,-1.211,1.899,0.652,0.8574,-0.749,-0.846,0.03705,-0.2324,0.4937,0.2893,-1.121,-0.3684,-1.261,0.8247,0.3076,-0.717,-1.293,-0.2081,-0.627,0.0904,0.5293,0.68,-0.2876,-0.8447,-0.878,-2.033,0.322,-1.303,-1.378,-0.2654,0.786,1.853,-0.6914,0.3423,0.9204,-1.396,-0.665,0.3047,-0.437,1.198,0.8877,-1.221,1.669,0.5864,1.129,-0.1462,-1.043,0.1892,-1.098,-0.1934,0.04715,-0.1721,-0.4016,0.2091,0.461,-0.1304,-0.8833,-0.84,0.737,0.722,0.702,0.4998,0.23,0.4216,0.02429,1.547,0.663,0.354,0.10803,1.2295,-1.982,-1.571,-0.296,-0.708,0.1714,0.3823,-0.1493,0.6567,1.191,1.572,0.3828,1.705,0.2012,0.3816,-1.167,0.561,0.1266,-0.7754,1.219,-0.3186,0.736,-0.1599,-0.548,-2.055
002_S_4654,0,0.066,-0.9385,-0.53,-2.008,0.0653,-1.606,-0.4458,1.722,0.886,-0.227,0.02911,1.178,-0.207,1.471,0.3105,-0.3328,0.0929,0.985,1.414,-0.4365,-0.52,0.832,-0.1372,-2.672,-0.587,-0.0996,-1.1045,-0.6724,0.9688,0.2032,-0.009834,1.618,-0.4783,0.3115,2.248,0.02853,0.2544,1.536,-0.3047,-0.942,-0.3167,-0.3896,0.3752,0.1582,0.04272,0.04572,-0.6284,-0.04376,-0.655,0.5835,0.439,-0.02014,0.8496,0.3564,-0.4136,-1.396,0.132,0.682,-0.501,0.3923,0.551,-0.3752,-1.018,3.762,-0.4514,0.138,-0.5884,-0.931,0.2357,-0.3074,-0.4692,0.8926,-4.95,0.3218,0.3696,0.4072,0.546,0.709,3.23,-1.947,-0.901,-0.5986,-1.124,0.8823,1.065,-0.3147,0.2057,0.08154,1.446,0.4226,-0.666,0.5483,-1.411,-1.035,0.7847,0.378,1.591,0.486,-0.892,1.502,0.1395,0.9253,-0.721,-1.094,-1.245,-0.2446,0.5005,0.968,-1.085,-0.1965,-1.088,0.4346,-0.03757,-1.179,-1.313,-0.3599,-0.7554,0.2391,0.618,1.041,-0.7236,-0.3855,-1.206,-2.033,-0.3828,-0.8203,-0.622,-0.6357,0.8735,1.4,-0.347,0.224,1.361,-0.5327,-1.194,0.4534,-0.6094,0.8467,0.4668,-1.211,1.343,1.174,0.3633,-0.2449,-0.5947,-0.09216,-1.564,-0.7114,0.222,-0.2423,-0.552,-0.04086,0.5117,-0.04123,-0.513,-0.681,1.109,0.7773,0.572,1.135,-0.3699,0.3345,0.1361,1.32,0.6934,-0.303,-0.10376,0.854,-1.646,-0.997,-0.1998,0.01971,-0.3013,0.432,-0.4514,1.019,1.638,1.235,0.03186,1.881,0.307,0.2422,-1.774,0.1478,0.5127,0.5645,0.806,-0.4478,0.827,-0.241,-0.426,-2.367
