epoch,train_Loss,train_ACC,train_PRE,train_SEN,train_SPE,train_F1,train_AUC,train_MCC,val_Loss,val_ACC,val_PRE,val_SEN,val_SPE,val_F1,val_AUC,val_MCC
1,0.7109,0.5186,0.5186,1.0000,0.0000,0.6830,0.5032,0.0000,0.6883,0.5116,0.5116,1.0000,0.0000,0.6769,0.4351,0.0000
2,0.7039,0.5186,0.5186,1.0000,0.0000,0.6830,0.5895,0.0000,0.6759,0.5116,0.5116,1.0000,0.0000,0.6769,0.8203,0.0000
3,0.6960,0.5186,0.5186,1.0000,0.0000,0.6830,0.7194,0.0000,0.6706,0.5116,0.5116,1.0000,0.0000,0.6769,0.8690,0.0000
4,0.6896,0.5186,0.5186,1.0000,0.0000,0.6830,0.7454,0.0000,0.6605,0.5116,0.5116,1.0000,0.0000,0.6769,0.9459,0.0000
5,0.6785,0.5186,0.5186,1.0000,0.0000,0.6830,0.8339,0.0000,0.6483,0.5116,0.5116,1.0000,0.0000,0.6769,0.9448,0.0000
6,0.6699,0.5186,0.5186,1.0000,0.0000,0.6830,0.8116,0.0000,0.6306,0.5581,0.5366,1.0000,0.0952,0.6984,0.9481,0.2261
7,0.6529,0.5593,0.5412,0.9869,0.0986,0.6991,0.8234,0.1887,0.6059,0.7907,0.7097,1.0000,0.5714,0.8302,0.9524,0.6368
8,0.6319,0.6441,0.5976,0.9608,0.3028,0.7368,0.8082,0.3539,0.5878,0.5581,0.5366,1.0000,0.0952,0.6984,0.9426,0.2261
9,0.6046,0.6915,0.6384,0.9346,0.4296,0.7586,0.8244,0.4257,0.5430,0.6744,0.6111,1.0000,0.3333,0.7586,0.9329,0.4513
10,0.5914,0.7254,0.6818,0.8824,0.5563,0.7692,0.7979,0.4666,0.5036,0.8140,0.7333,1.0000,0.6190,0.8462,0.9361,0.6738
11,0.5712,0.7254,0.6895,0.8562,0.5845,0.7638,0.8118,0.4599,0.4869,0.8605,0.9444,0.7727,0.9524,0.8500,0.9481,0.7347
12,0.5471,0.7729,0.7416,0.8627,0.6761,0.7976,0.8295,0.5503,0.4478,0.9302,0.9524,0.9091,0.9524,0.9302,0.9545,0.8615
13,0.5257,0.7695,0.7374,0.8627,0.6690,0.7952,0.8400,0.5439,0.4415,0.8140,0.7333,1.0000,0.6190,0.8462,0.9437,0.6738
14,0.5160,0.7864,0.7679,0.8431,0.7254,0.8037,0.8449,0.5737,0.4104,0.9302,0.9524,0.9091,0.9524,0.9302,0.9567,0.8615
15,0.5129,0.7593,0.7384,0.8301,0.6831,0.7815,0.8374,0.5200,0.3953,0.9302,0.9130,0.9545,0.9048,0.9333,0.9567,0.8612
16,0.5125,0.7627,0.7578,0.7974,0.7254,0.7771,0.8401,0.5246,0.3848,0.9302,0.9130,0.9545,0.9048,0.9333,0.9567,0.8612
17,0.5034,0.7559,0.7580,0.7778,0.7324,0.7677,0.8416,0.5109,0.3863,0.8605,0.8077,0.9545,0.7619,0.8750,0.9545,0.7325
18,0.4904,0.7831,0.7665,0.8366,0.7254,0.8000,0.8516,0.5665,0.3647,0.8837,0.8400,0.9545,0.8095,0.8936,0.9610,0.7742
19,0.4834,0.7932,0.7738,0.8497,0.7324,0.8100,0.8613,0.5874,0.3561,0.8837,0.8400,0.9545,0.8095,0.8936,0.9589,0.7742
20,0.4674,0.7831,0.7764,0.8170,0.7465,0.7962,0.8683,0.5655,0.3397,0.9302,0.9130,0.9545,0.9048,0.9333,0.9610,0.8612
21,0.4920,0.7661,0.7593,0.8039,0.7254,0.7810,0.8459,0.5315,0.3409,0.9302,0.9130,0.9545,0.9048,0.9333,0.9610,0.8612
22,0.4473,0.7864,0.7744,0.8301,0.7394,0.8013,0.8817,0.5727,0.3320,0.9070,0.8750,0.9545,0.8571,0.9130,0.9654,0.8170
23,0.4496,0.8034,0.7987,0.8301,0.7746,0.8141,0.8796,0.6061,0.3243,0.9070,0.9091,0.9091,0.9048,0.9091,0.9654,0.8139
24,0.4288,0.8271,0.8355,0.8301,0.8239,0.8328,0.8962,0.6539,0.3164,0.9302,0.9130,0.9545,0.9048,0.9333,0.9610,0.8612
25,0.4403,0.8203,0.8086,0.8562,0.7817,0.8317,0.8834,0.6406,0.3439,0.8837,0.9474,0.8182,0.9524,0.8780,0.9610,0.7756
