epoch,train_Loss,train_ACC,train_PRE,train_SEN,train_SPE,train_F1,train_AUC,train_MCC,val_Loss,val_ACC,val_PRE,val_SEN,val_SPE,val_F1,val_AUC,val_MCC
1,0.7026,0.3791,0.3388,0.9364,0.1067,0.4976,0.5767,0.0697,0.7590,0.3333,0.3333,1.0000,0.0000,0.5000,0.6123,0.0000
2,0.6817,0.6030,0.4258,0.6000,0.6044,0.4981,0.6284,0.1926,0.6539,0.6458,0.4000,0.1250,0.9062,0.1905,0.6357,0.0482
3,0.6671,0.6418,0.4468,0.3818,0.7689,0.4118,0.6199,0.1575,0.6340,0.6458,0.4000,0.1250,0.9062,0.1905,0.6328,0.0482
4,0.6537,0.6597,0.4767,0.3727,0.8000,0.4184,0.6318,0.1857,0.6280,0.6458,0.4000,0.1250,0.9062,0.1905,0.6328,0.0482
5,0.6442,0.6627,0.4795,0.3182,0.8311,0.3825,0.6345,0.1698,0.6254,0.6458,0.4000,0.1250,0.9062,0.1905,0.6367,0.0482
6,0.6407,0.6746,0.5082,0.2818,0.8667,0.3626,0.6174,0.1807,0.6231,0.6458,0.4000,0.1250,0.9062,0.1905,0.6455,0.0482
7,0.6345,0.6597,0.4667,0.2545,0.8578,0.3294,0.6243,0.1376,0.6218,0.6458,0.4000,0.1250,0.9062,0.1905,0.6465,0.0482
8,0.6246,0.6716,0.5000,0.2000,0.9022,0.2857,0.6462,0.1421,0.6104,0.6875,0.6667,0.1250,0.9687,0.2105,0.6436,0.1826
9,0.6236,0.6687,0.4889,0.2000,0.8978,0.2839,0.6419,0.1347,0.6109,0.6875,0.6667,0.1250,0.9687,0.2105,0.6484,0.1826
10,0.6284,0.6716,0.5000,0.1182,0.9422,0.1912,0.6112,0.1060,0.6116,0.6875,0.6667,0.1250,0.9687,0.2105,0.6514,0.1826
11,0.6090,0.6746,0.5161,0.1455,0.9333,0.2270,0.6769,0.1277,0.6042,0.6875,0.6667,0.1250,0.9687,0.2105,0.6465,0.1826
12,0.6164,0.6687,0.4872,0.1727,0.9111,0.2550,0.6337,0.1228,0.6065,0.6875,0.6667,0.1250,0.9687,0.2105,0.6523,0.1826
13,0.6090,0.6567,0.4286,0.1364,0.9111,0.2069,0.6646,0.0729,0.6078,0.6875,0.6667,0.1250,0.9687,0.2105,0.6523,0.1826
14,0.6066,0.6746,0.5172,0.1364,0.9378,0.2158,0.6687,0.1238,0.6063,0.6875,0.6667,0.1250,0.9687,0.2105,0.6543,0.1826
15,0.6027,0.6687,0.4889,0.2000,0.8978,0.2839,0.6735,0.1347,0.6026,0.6875,0.6667,0.1250,0.9687,0.2105,0.6553,0.1826
16,0.6050,0.6657,0.4737,0.1636,0.9111,0.2432,0.6647,0.1107,0.6027,0.7083,1.0000,0.1250,1.0000,0.2222,0.6416,0.2949
17,0.5969,0.6896,0.6364,0.1273,0.9644,0.2121,0.6903,0.1739,0.6016,0.6875,1.0000,0.0625,1.0000,0.1176,0.6367,0.2063
18,0.5938,0.6836,0.5526,0.1909,0.9244,0.2838,0.6908,0.1708,0.6034,0.6667,0.5000,0.1250,0.9375,0.2000,0.6406,0.1066
19,0.5916,0.6806,0.5484,0.1545,0.9378,0.2411,0.7028,0.1496,0.6004,0.7083,1.0000,0.1250,1.0000,0.2222,0.6475,0.2949
20,0.5887,0.6806,0.5349,0.2091,0.9111,0.3007,0.7012,0.1688,0.6027,0.6458,0.4000,0.1250,0.9062,0.1905,0.6504,0.0482
21,0.5839,0.6806,0.5366,0.2000,0.9156,0.2914,0.7121,0.1656,0.6011,0.6458,0.4000,0.1250,0.9062,0.1905,0.6367,0.0482
22,0.5789,0.6896,0.5625,0.2455,0.9067,0.3418,0.7125,0.2039,0.5991,0.7083,1.0000,0.1250,1.0000,0.2222,0.6445,0.2949
23,0.5708,0.7075,0.6071,0.3091,0.9022,0.4096,0.7241,0.2660,0.5991,0.6875,0.6667,0.1250,0.9687,0.2105,0.6348,0.1826
24,0.5769,0.6776,0.5217,0.2182,0.9022,0.3077,0.7167,0.1643,0.6113,0.6042,0.3333,0.1875,0.8125,0.2400,0.6445,0.0000
25,0.5667,0.7224,0.6889,0.2818,0.9378,0.4000,0.7400,0.3024,0.6020,0.6667,0.5000,0.1250,0.9375,0.2000,0.6465,0.1066
26,0.5726,0.7104,0.6275,0.2909,0.9156,0.3975,0.7264,0.2699,0.6042,0.6250,0.3750,0.1875,0.8437,0.2500,0.6426,0.0395
27,0.5784,0.6896,0.5556,0.2727,0.8933,0.3659,0.7107,0.2121,0.6038,0.6458,0.3333,0.0625,0.9375,0.1053,0.6367,0.0000
