fold,epoch,tr_ACC,tr_PRE,tr_SEN,tr_SPE,tr_F1,tr_AUC,tr_MCC,tr_loss,vl_ACC,vl_PRE,vl_SEN,vl_SPE,vl_F1,vl_AUC,vl_MCC,vl_loss,lr
1,1,0.511111,0.526316,0.571429,0.446154,0.547945,0.541044,0.017711,0.750890,0.485294,0.000000,0.000000,1.000000,0.000000,0.636364,0.000000,0.726702,0.000010
1,2,0.570370,0.595238,0.535714,0.607692,0.563910,0.593516,0.143628,0.710898,0.485294,0.000000,0.000000,1.000000,0.000000,0.540260,0.000000,0.857038,0.000010
1,3,0.507407,0.523810,0.550000,0.461538,0.536585,0.528571,0.011576,0.764879,0.500000,0.509091,0.800000,0.181818,0.622222,0.582684,-0.023109,0.681418,0.000010
1,4,0.551852,0.576000,0.514286,0.592308,0.543396,0.587198,0.106814,0.734489,0.617647,0.846154,0.314286,0.939394,0.458333,0.606926,0.322421,0.675633,0.000010
1,5,0.514815,0.532374,0.528571,0.500000,0.530466,0.544341,0.028564,0.760751,0.544118,0.537037,0.828571,0.242424,0.651685,0.612121,0.087753,0.677502,0.000010
1,6,0.537037,0.557252,0.521429,0.553846,0.538745,0.537582,0.075256,0.766324,0.588235,0.612903,0.542857,0.636364,0.575758,0.615584,0.179845,0.663307,0.000010
1,7,0.522222,0.537931,0.557143,0.484615,0.547368,0.531813,0.041845,0.756807,0.573529,0.578947,0.628571,0.515152,0.602740,0.645887,0.144665,0.651833,0.000010
1,8,0.537037,0.553191,0.557143,0.515385,0.555160,0.569945,0.072549,0.735979,0.573529,0.571429,0.685714,0.454545,0.623377,0.615584,0.144249,0.658445,0.000010
1,9,0.577778,0.598485,0.564286,0.592308,0.580882,0.571264,0.156525,0.758568,0.602941,0.785714,0.314286,0.909091,0.448980,0.600866,0.276101,0.670557,0.000009
1,10,0.529630,0.548148,0.528571,0.530769,0.538182,0.580220,0.059300,0.723570,0.514706,0.517857,0.828571,0.181818,0.637363,0.597403,0.013621,0.703956,0.000009
1,11,0.437037,0.453125,0.414286,0.461538,0.432836,0.473791,-0.124258,0.839518,0.588235,0.818182,0.257143,0.939394,0.391304,0.593074,0.266748,0.676557,0.000009
1,12,0.559259,0.573427,0.585714,0.530769,0.579505,0.572308,0.116609,0.726904,0.544118,0.534483,0.885714,0.181818,0.666667,0.597403,0.095299,0.701298,0.000009
1,13,0.529630,0.549618,0.514286,0.546154,0.531365,0.555659,0.060425,0.755530,0.558824,0.575758,0.542857,0.575758,0.558824,0.609524,0.118615,0.661008,0.000009
1,14,0.577778,0.597015,0.571429,0.584615,0.583942,0.587473,0.155941,0.732537,0.529412,0.522388,1.000000,0.030303,0.686275,0.632900,0.125817,0.850353,0.000008
1,15,0.551852,0.576000,0.514286,0.592308,0.543396,0.583297,0.106814,0.751077,0.573529,0.583333,0.600000,0.545455,0.591549,0.619048,0.145644,0.663252,0.000008
