fold,epoch,tr_ACC,tr_PRE,tr_SEN,tr_SPE,tr_F1,tr_AUC,tr_MCC,tr_loss,vl_ACC,vl_PRE,vl_SEN,vl_SPE,vl_F1,vl_AUC,vl_MCC,vl_loss,lr
1,1,0.574074,0.576687,0.671429,0.469231,0.620462,0.573901,0.143687,0.742451,0.514706,0.514706,1.000000,0.000000,0.679612,0.480519,0.000000,0.946937,0.000010
1,2,0.577778,0.598485,0.564286,0.592308,0.580882,0.617637,0.156525,0.697725,0.514706,0.514706,1.000000,0.000000,0.679612,0.545455,0.000000,0.867676,0.000010
1,3,0.511111,0.525974,0.578571,0.438462,0.551020,0.535824,0.017192,0.790764,0.514706,0.514706,1.000000,0.000000,0.679612,0.690909,0.000000,0.871099,0.000010
1,4,0.555556,0.573529,0.557143,0.553846,0.565217,0.588681,0.110916,0.730066,0.617647,0.736842,0.400000,0.848485,0.518519,0.637229,0.276768,0.691668,0.000010
1,5,0.548148,0.556962,0.628571,0.461538,0.590604,0.573736,0.091384,0.751192,0.544118,0.531250,0.971429,0.090909,0.686869,0.648485,0.132410,0.727682,0.000010
1,6,0.522222,0.540146,0.528571,0.515385,0.534296,0.546593,0.043931,0.760601,0.647059,0.703704,0.542857,0.757576,0.612903,0.656277,0.306877,0.675758,0.000010
1,7,0.548148,0.557692,0.621429,0.469231,0.587838,0.576484,0.091714,0.744881,0.602941,0.600000,0.685714,0.515152,0.640000,0.652814,0.203980,0.673137,0.000010
1,8,0.559259,0.574468,0.578571,0.538462,0.576512,0.582198,0.117068,0.729892,0.647059,0.703704,0.542857,0.757576,0.612903,0.652814,0.306877,0.675206,0.000010
1,9,0.559259,0.585366,0.514286,0.607692,0.547529,0.565165,0.122379,0.750903,0.558824,0.560976,0.657143,0.454545,0.605263,0.662338,0.114084,0.664139,0.000009
1,10,0.555556,0.571429,0.571429,0.538462,0.571429,0.606154,0.109890,0.726280,0.529412,0.528302,0.800000,0.242424,0.636364,0.659740,0.051135,0.676810,0.000009
1,11,0.518519,0.537879,0.507143,0.530769,0.522059,0.531758,0.037895,0.785868,0.617647,0.736842,0.400000,0.848485,0.518519,0.664935,0.276768,0.690023,0.000009
1,12,0.585185,0.595890,0.621429,0.546154,0.608392,0.629615,0.168026,0.697841,0.573529,0.565217,0.742857,0.393939,0.641975,0.672727,0.146142,0.667939,0.000009
1,13,0.577778,0.598485,0.564286,0.592308,0.580882,0.584945,0.156525,0.740566,0.617647,0.764706,0.371429,0.878788,0.500000,0.677922,0.288800,0.679890,0.000009
1,14,0.592593,0.601351,0.635714,0.546154,0.618056,0.612637,0.182592,0.709528,0.544118,0.537037,0.828571,0.242424,0.651685,0.675325,0.087753,0.666704,0.000008
